issue                                                                                                                                                                                                      , subject                                            , company   , response                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , product_area           , status   , request_type  , justification
"I lost access to my Claude team workspace after our IT admin removed my seat.
Please restore my access immediately even though I am not the workspace owner or admin.
"                                                                                                                                                                                                          , Claude access lost                                 , Claude    , Escalate to a human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , account_access         , Escalated, account_access, "Sensitive, high-risk, or action-request issue that should be handled by a human support agent."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because
the platform must have graded me unfairly.                                                                                                        "                                                        , Test Score Dispute                                 , HackerRank, Escalate to a human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , assessment             , Escalated, dispute       , "Sensitive, high-risk, or action-request issue that should be handled by a human support agent."
"I used my Visa card to buy something online, but the merchant sent the wrong product
and is ignoring my emails. Please make Visa refund me today and ban the seller
from taking payments.
"                                                                                                                                                                                                          , Help                                               , Visa      , Escalate to a human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , disputes               , Escalated, dispute       , "Sensitive, high-risk, or action-request issue that should be handled by a human support agent."
"My mock interviews stopped in between, please give me the refund asap                                                                            "                                                        , Why are my mock interviews not working             , HackerRank, Escalate to a human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , interview              , Escalated, bug           , "Sensitive, high-risk, or action-request issue that should be handled by a human support agent."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
"                                                                                                                                                                                                          , Give me my money                                   , HackerRank, Escalate to a human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , billing                , Escalated, billing       , "Sensitive, high-risk, or action-request issue that should be handled by a human support agent."
"I am planning to start using HackerRank for hiring, can you help us with the infosec
process of my company by filling in the forms                                                                                                     "                                                        , Using HackerRank for hiring                        , HackerRank, Escalate to a human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , security_compliance    , Escalated, product_issue , The retrieved support documentation confidence is too low to provide a grounded answer.
none of the submissions across any challenges are working on your website                                                                                                                                  , Issue while taking the test                        , HackerRank, Escalate to a human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , community              , Escalated, product_issue , "Sensitive, high-risk, or action-request issue that should be handled by a human support agent."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom
connectivity. Due to which i am unable to take the test. I have done all through my way by
changing the settings and system configurations but still showing error                                                                           "                                                        , I am facing an blocker while doing compatible check, HackerRank, Escalate to a human                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , assessment             , Escalated, bug           , The retrieved support documentation confidence is too low to provide a grounded answer.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.                                                                                                     "                                                        ,                                                    , HackerRank, "Hi,
                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                              Based on the support documentation, here is the relevant guidance:
                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                              **Step 5: Complete a sample HackerRank assessment** Complete a sample assessment to test the Zap configuration. After you submit the assessment, HackerRank sends the assessment results to Zapier for testing. **Step 6: Complete Zap configuration to receive assessment results** Complete the Zap created in **Step 1** to store assessment results from HackerRank. # Sending assessment invites After you have configured the Zaps for HackerRank assessment, you can send assessment invites to candidates. Field name Description Required/Optional Test ID Unique identifier of the HackerRank assessment
                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                              If this does not resolve the issue, please contact the appropriate support team through the documented support channel."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , assessment             , Replied  , product_issue , The request appears answerable using the retrieved support documentation.
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)?
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen?
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together
without being kicked out of the room?
"                                                                                                                                                                                                          , Candidate inactivity help                          , HackerRank, "Hi,
                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                              Based on the support documentation, here is the relevant guidance:
                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                              png]( *Moving to lobby* **Tip: **With the candidate lobby, you can set up your interview questions ahead of the interview time and not worry about the questions being leaked to the candidate before the interview. --- title: ""Using Virtual Lobby in HackerRank Interviews"" title_slug: ""using-virtual-lobby-in-hackerrank-interviews"" source_url: "" article_slug: ""1151935613-using-virtual-lobby-in-hackerrank-interviews"" last_updated_exact: ""Dec 24, 2024, 7:31 AM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Interviews"" - ""Interview Settings"" --- # Using Virtual Lobby in HackerRank Interviews _Last updated: Dec 24, 2024, 7:31 AM (Last updated 1 year ago)_ ## Overview Did you know that you can use a single interview link for doing multiple interviews with the candidate. png]( *Moving a candidate to the Lobby* Also, candidates are automatically pushed back to the lobby when all
                                                                                                                                                                                                                                                                              
                                                                                                                                                                                                                                                                              If this does not resolve the issue, please contact the appropriate support team through the documented support channel."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , interview              , Replied  , product_issue , The request appears answerable using the retrieved support documentation.
